ticker,daily_volume,market_cap,avg_daily_returns,avg_anual_returns,avg_daily_volatility,avg_anual_volatility,sharpe_ratio,trynor_ratio,information_ratio,beta,dia_invertir
EFX,720580.0,24081020928,0.0006283965861127147,0.17152486699491565,0.020360608109359298,0.3232146335964582,0.42146874811675733,0.13727397803650307,0.530684100179291,0.9748742544586982,0
EIX,2206793.3333333335,26286475264,0.0004159111595112777,0.11047496754919428,0.019731312780941628,0.313224879955211,0.24000318097318385,0.09508470993785649,0.35270176355400457,0.7653698223064155,3
EL,1212496.6666666667,85886402560,0.0007384492345816745,0.20444699007607436,0.02078954959715,0.33002386861861166,0.5125295657677026,0.15610645248424557,0.619491526270002,1.06816206135299,0
ELV,1118280.0,108881616896,0.0008178366107959614,0.22876622380394163,0.02115622664006297,0.33584468622075736,0.5760586120358399,0.20373815049114963,0.6811667213742041,0.9378028775825248,0
EMN,1017896.6666666666,9738340352,0.0002480637410242114,0.06449904746522495,0.021886811497398843,0.3474423612855993,0.08403997531326697,0.0230345449126645,0.185639561124806,1.1634285620503275,0
EMR,3435866.6666666665,47826178048,0.00043016529054376324,0.11446931906546953,0.020200415152935074,0.320671649249562,0.24688593223236954,0.06884100896029761,0.3569673818479165,1.1151684181407682,0
ENPH,3753766.6666666665,26414899200,0.004531118191562565,2.1244637303370206,0.05043260438889517,0.8005927750939273,2.6095210890354528,1.37636207619941,2.6536134179924042,1.5161444553160488,0
EOG,4667473.333333333,64890613760,0.0006079281703056746,0.16550136553366612,0.03026335731237242,0.48041590371855303,0.27101801694296807,0.11361824039870831,0.3444960174145764,1.124831409861537,0
EPAM,541800.0,16322874368,0.0012860616306226728,0.38248044707650775,0.03220782696309282,0.5112834024848658,0.6790371942237738,0.24553583894964767,0.7480791381406701,1.4041960169701022,0
EQIX,427563.3333333333,63376244736,0.0005801405067718598,0.15737327247518307,0.01896144090272138,0.3010035427682931,0.4055542713965755,0.14345167182710392,0.5228286385862444,0.8342410440459703,0
EQR,1979690.0,21956706304,0.00021452446945953674,0.055541988849440616,0.018388634138496368,0.2919105172836831,0.06934312966109797,0.02143336090833768,0.19027059855970882,0.832440088409093,0
EQT,7572756.666666667,11135123456,0.0006948638108013504,0.19129967044636187,0.03780331124726817,0.6001089617702553,0.2599522426497015,0.16495682170108875,0.31877489361606753,0.9311507633475947,0
ES,2140330.0,26561908736,0.00039537050580538426,0.10474404715542951,0.016655779591459374,0.26440230414543897,0.26264539327626524,0.10474434008582305,0.39615406338446,0.6400732211448988,0
ESS,549840.0,13364510720,0.00016044457903988886,0.04125715988423817,0.018724368429090532,0.2972401339207362,0.020041573140411596,0.004228018355820234,0.13880077141682368,0.8413302840422711,3
ETN,2112093.3333333335,65989763072,0.0008404902988460588,0.23579513354125137,0.019719986293548108,0.313045077541984,0.6404672934502923,0.17573214119865327,0.7532306062523143,1.1272561307798454,0
ETR,1473703.3333333333,22286524416,0.00047837175587703545,0.1280842701797622,0.01716154660300413,0.2724311065487655,0.34057883974844005,0.1252135048952237,0.4701528830623274,0.721841228351479,0
ETSY,3912336.6666666665,13095623680,0.0020203375792290875,0.6629804750989932,0.03999121174598986,0.634840805448086,0.9887210615832439,0.4292665648448206,1.0443255528148438,1.4566251516118693,4
EVRG,1501580.0,13600497664,0.0003677766247621065,0.0970915919245523,0.017259586588169375,0.2739874430644917,0.22552709435668436,0.08345141838811193,0.35436511556370376,0.7116906227805102,0
EW,3763553.3333333335,48963112960,0.0008189682781336903,0.22911640690296742,0.021317474867028237,0.3384044224681585,0.5727360342674133,0.1887007929933467,0.6770490918289511,1.0143911102149765,0
EXC,8867890.0,40587284480,0.0005603600602504023,0.15162177209421035,0.017478885222394706,0.2774687009585898,0.41922484118873843,0.1374853899345047,0.5464463976311289,0.828610022843012,0
EXPD,1361110.0,16202434560,0.0005554296998284803,0.15019262399312572,0.016875293330830526,0.26788697672786643,0.4288846938230956,0.13486582903043698,0.5606566837539819,0.8341076816999953,0
EXPE,2661900.0,14267498496,0.0002564536271795834,0.06675147804020831,0.03007968058796798,0.47750012611212245,0.06586695232164849,0.023118102578315234,0.13979363436761544,1.2566549500242543,4
EXR,1009213.3333333334,21492107264,0.0007367756901872166,0.20393951614382133,0.017817866728198975,0.2828498655390395,0.5962156489713635,0.24604913550552016,0.7210168396409338,0.675635440873523,0
F,75913603.33333333,46239690752,0.0004646820459705921,0.12420113018060452,0.026452750014861744,0.41992438819850597,0.21170747086634875,0.07237962443649398,0.29577022357151683,1.1951033298950147,0
FANG,2890746.6666666665,23997050880,0.0008715238734481411,0.24548917935642156,0.03805259847604391,0.6040662738444458,0.34795715049396675,0.15839088866559847,0.4063944470762457,1.311875835201069,0
FAST,3135163.3333333335,30049679360,0.0007753352925048411,0.21568631860562593,0.01866267258585852,0.29626074277202624,0.6088768863461397,0.18438533051911415,0.7280286837449718,0.9652954392007618,0
FCX,13441733.333333334,54895575040,0.001096759645872707,0.31815361171626155,0.03339017414978356,0.5300525822007892,0.533633117193482,0.1805999551712563,0.6002302835603238,1.5528996751428743,0
FDS,261690.0,15356950528,0.0007547177510980064,0.20939125733994945,0.018302924336746625,0.29054991636158034,0.5991784803107577,0.18322063617303985,0.720672234093396,0.9370737976141417,0
FDX,2241320.0,55408033792,0.0002237217352868963,0.057990730181449734,0.023703537737475015,0.37628199627476117,0.060302460404937794,0.018353819070898673,0.1541150805926545,1.105531775325288,0
FE,3648336.6666666665,22100101120,0.0005163461620845344,0.13892592943016147,0.018508252420942773,0.29380939864934236,0.35269780308776866,0.14206426410721662,0.47284372136770114,0.7125361896343316,2
FFIV,453726.6666666667,8407866368,0.00024016800599929266,0.062383608538194135,0.020063842263255433,0.31850362183800723,0.08503391070375023,0.025559756194043683,0.19586467550413852,0.9657215957304899,4
FICO,382823.3333333333,17093190656,0.0014693154194541209,0.44772843574723487,0.02583075083897144,0.4100504573879488,1.0057992335246593,0.30763810544507336,1.0918862000527874,1.3328272034247155,0
FIS,8054736.666666667,29981507584,-0.00017396330913715767,-0.042895375025040816,0.021629501020475776,0.34335768409558015,-0.2277373673200616,-0.07548151710462117,-0.12492912496782822,1.0677498030853245,4
FISV,4113230.0,69897863168,0.0005992525584405398,0.16295760035317475,0.01940611512767849,0.30806252725035455,0.4143886031598731,0.11867828029212076,0.5289757303741889,1.05543828276631,0
FITB,12320486.666666666,17938962432,0.0003863332057692154,0.10223194696662041,0.026859626691973493,0.42638335520996606,0.15697598451905043,0.04719971171294568,0.23976533257560637,1.3672106168589362,0
FLT,752206.6666666666,14862941184,0.0002736597213026573,0.07138565504610184,0.021796169180706478,0.34600345911623875,0.10429275805008348,0.029678535325187765,0.20631485947693967,1.1350174352274482,4
FMC,805700.0,14923183104,0.0005557075448892916,0.15027311507818886,0.020973751929023857,0.3329479899849501,0.3453185438464003,0.10878675941594312,0.45134110911731734,1.0348052987567053,0
FRC,53786290.0,2513956608,-0.0005724283563316922,-0.13436613500579853,0.035026900737030714,0.5560348112851697,-0.3051358144531405,-0.1461919235985104,-0.2416505806448278,1.1769879673951549,0
FRT,532200.0,7629683712,0.00012783654120086533,0.0327371961982712,0.022722522084919306,0.36070885558121624,-0.007104909574785205,-0.0050995981765425856,0.09075794977509273,0.9731754600895764,0
FSLR,2898306.6666666665,22388955136,0.0012837113309443775,0.38166293028997966,0.030137338180013573,0.47841541201060717,0.723979457171627,0.34262425112069406,0.7977647055432187,1.003907134900425,0
FTNT,4317193.333333333,50391916544,0.001879131621106009,0.6049567385140928,0.027417480230745195,0.4352390055994896,1.3088365959513646,0.4534763589599699,1.3899414591319483,1.2509069707957297,0
